DPM;APM;SR
89;58.4;10657
91.8;54;10657
91.5;56.9;10667
88.7;62.1;10667
90.6;60.5;10667
103.1;48.9;10670
87.3;50.1;10670
96.8;69.1;10676
88.3;58;10680
91;69.8;10680
96.1;66.1;10683
94.4;60.2;10683
87.1;54.3;10685
89.6;63.9;10685
96.5;75.9;10689
84.1;63.9;10689
86.5;58.6;10693
88;59;10703
82.5;49.1;10703
90.6;61;10704
79.2;59.2;10710
90.1;61.4;10710
88.7;59.2;10710
104.2;67.5;10717
84.1;51.5;10718
81.4;54.5;10718
89.9;54.2;10718
86.1;54;10718
93.1;67.1;10718
103.9;71.2;10725
80.2;61.5;10725
84.9;61.7;10725
84.6;60.9;10725
94.8;65.9;10725
94.5;65.2;10728
96.5;64.7;10728
85.8;48.5;10730
88.2;77.1;10730
83.1;51.6;10730
89;52;10731
99.7;60.5;10731
91.7;64.3;10731
83.8;52.4;10731
93.3;65.4;10731
86.2;65.4;10731
96;56.2;10734
82.6;58;10734
90.3;75.2;10734
94.3;64.3;10737
97.4;75.5;10737
83.3;54.3;10737
96.4;55.7;10740
90.8;65.7;10740
86.1;59.6;10743
86.5;62.6;10743
84.4;58.5;10744
94.1;70.8;10746
96.5;58.2;10746
83.4;81.8;10747
88.5;82.4;10747
90.7;55.7;10748
83.2;65;10748
91.3;75.1;10751
89.3;58;10752
94.9;55.9;10755
96.6;60.6;10755
96.6;72.9;10755
83.7;60.8;10755
93.5;59;10756
90.2;66.4;10756
97.1;68.2;10757
90.1;58.8;10758
87.7;68.1;10758
82.6;57.6;10764
89.1;65;10764
94.1;68.4;10764
84.1;50.5;10764
91.3;67.7;10764
96.4;75.3;10765
91.3;54.8;10765
85.1;63.7;10767
95.8;64.3;10767
91.8;58.6;10768
91.2;63.9;10768
85.9;54.1;10769
75.5;61.4;10769
91;71.6;10769
93.5;65.4;10771
111.6;76.7;10771
90.1;62.2;10773
94.1;68.8;10773
86.6;59;10789
91.6;60.1;10792
88.8;66.3;10792
86.9;56.3;10793
90.6;55.3;10793
92.7;55.4;10793
105.7;91.4;10795
88.4;74.4;10799
93.2;42.2;10803
83.3;56.3;10803
85.4;64.3;10803
93.2;61.8;10803
96.3;59.6;10803
83;59.1;10806
88.1;57.3;10810
87.4;66.8;10810
84.3;61.9;10816
82.7;60.9;10816
93.7;59.2;10817
88.6;65.6;10817
92;77.9;10820
79.3;69.4;10820
81.8;71.2;10820
88;60.2;10820
89.4;61.5;10835
85.2;59;10835
106.1;74;10837
88.7;65.3;10854
87.3;64.3;10854
89.7;61.8;10854
88.9;51.1;10854
108.9;66.3;10879
104.9;56.4;10881
108.2;80.7;10881
100.1;65.8;10881
101.3;60.6;10881
100.5;67.9;10881
91.2;59.2;10881
111.7;78;10881
102.1;62.9;10881
110.8;65.2;10889
102.4;59.5;10918
96.4;78.5;10939
100.4;59;10945
92.9;68.5;10980
91.4;67.9;10980
98.3;69.1;10980
86.8;69.9;10980
87;62.8;10980
86.3;57.5;10980
98.2;58.5;10980
87.9;76.9;11018
111.5;50.4;11032
98.6;74.5;11097
